device_id,secret
OP212010300100001,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5c
OP212010300100002,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5d
OP212010300100003,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5e
OP212010300100004,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5f
OP212010300100005,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5g
OP212010300100006,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5c
OP212010300100007,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5d
OP212010300100008,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5e
OP212010300100009,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5f
OP212010300100010,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5g
OP212010300100011,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5c
OP212010300100012,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5d
OP212010300100013,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5e
OP212010300100014,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5f
OP212010300100015,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5g
OP212010300100016,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5c
OP212010300100017,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5d
OP212010300100018,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5e
OP212010300100019,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5f
OP212010300100020,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5g
OP212010300100021,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5c
OP212010300100022,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5d
OP212010300100023,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5e
OP212010300100024,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5f
OP212010300100025,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5g
OP212010300100026,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5c
OP212010300100027,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5d
OP212010300100028,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5e
OP212010300100029,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5f
OP212010300100030,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5g
OP212010300100031,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5c
OP212010300100032,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5d
OP212010300100033,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5e
OP212010300100034,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5f
OP212010300100035,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5g
OP212010300100036,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5c
OP212010300100037,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5d
OP212010300100038,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5e
OP212010300100039,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5f
OP212010300100040,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5g
OP212010300100041,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5c
OP212010300100042,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5d
OP212010300100043,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5e
OP212010300100044,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5f
OP212010300100045,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5g
OP212010300100046,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5c
OP212010300100047,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5d
OP212010300100048,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5e
